"Project Name",Subtype,"Current Status","Capacity (MW)","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District
"Loei 1 Solar Power Plant",Solar,Operational,6.1,2011,Thailand,"Solar Power (Loei 1) Company Limited (Solar Power Co. Ltd; Thai Fa Power Co. Ltd.)",,,," ",Thailand,Loei,"Wang Saphung"
"Loei 2 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power (Loei 2) Company Limited (Solar Power Co. Ltd; PEA ENCOM International Co. Ltd)",,,," ",Thailand,Loei,"Wang Saphung"
"Loi Hai (nhà máy Điện gió Lợi Hải 2)",Wind,"Under Construction",30,2018,Vietnam,"Thuan Binh Wind Power JSC (Công ty Cổ phần Phong điện Thuận Bình), an EVN’s affiliate (Vietnam)",,,," ",Vietnam,"Ninh Thuận","Thuận Bắc"
"Long An 1 (Nhiệt điện Long An Giai đoạn I) Trung tâm Điện lực Long An",Gas,Planned,1200,2024,Vietnam,"VinaCapital Group Ltd.",,,," ",Vietnam,"Long An","Cần Giuộc"
"Long An 2 (Nhiệt điện Long An Giai đoạn II) Trung tâm Điện lực Long An",Gas,Planned,1600,2024,Vietnam,"VinaCapital Group Ltd.",,,," ",Vietnam,"Long An","Cần Đước"
"Long Phu 1 (Nhiệt điện Long Phú 1)",Coal,"Under Construction",1200,2024,Vietnam,"Petrovietnam (Tập đoàn Dầu khí Việt Nam)","Taipei, Taiwan; Japan; USA; United Kingdom","HSBC, Cathay United Bank, JP MorganChase, Mitsubishi UFJ","Vietnam; Russia; USA","Black & Veatch, Liên danh Tổng thầu PM - PTSC (Petrovietnam Construction), formerly Nhà thầu Power Machines",Vietnam,"Trà Vinh","Trà Cú"
"Long Phu 2 (Nhiệt điện Long Phú 2)",Coal,Planned,1320,2030,India,"TATA Tập đoàn Tata",,,," ",Vietnam,"Trà Vinh","Trà Cú"
"Long Phu 3 (Nhiệt điện Long Phú 1)",Coal,Planned,1200,,Vietnam,"Petrovietnam (Tập đoàn Dầu khí Việt Nam) -- looking for other investors",,,," ",Vietnam,"Trà Vinh","Trà Cú"
"Long Son (Điện mặt trời Long Sơn) (200 ha)",Solar,Planned,170,2019,Vietnam,"Công ty CP Năng lượng Long Sơn (SPV)",,,," ",Vietnam,"Khánh Hòa","Ninh Hòa"
"Long Son Complex",Gas,Planned,3600,2025,Vietnam,EVNGENCO3,,,,,Vietnam,"Bà Rịa - Vũng Tàu","Vũng Tàu"
"Long Tao (Thủy điện Long Tạo)",Hydro,Operational,42,2020,Vietnam,"Long Tao Dien Bien JSC",,,Vietnam,"SONG DA 5 JOINT STOCK COMPANY",Vietnam,"Điện Biên","Tuần Giáo"
"Long Thanh 1 (dự án điện mặt trời Long Thành 1) Phase 1",Solar,Operational,10,2019,Vietnam,"Long Thanh (Công ty Cổ phần Đầu tư và Phát triển hạ tầng Long Thành) (Vietnam)",,,," ",Vietnam,"Đắk Lắk","Ea Súp"
"Long Thanh 1 (dự án điện mặt trời Long Thành 1) Phase 2&3",Solar,Planned,120,2020,Vietnam,"Long Thanh (Công ty Cổ phần Đầu tư và Phát triển hạ tầng Long Thành) (Vietnam)",,,," ",Vietnam,"Đắk Lắk","Ea Súp"
Longma,Hydro,Operational,240,2007,China,"Yunnan Datang International Lixianjiang Hydropower Development Company Ltd.; 大唐国际发电股份有限公司、北京国电安融能源投资有限公司和思茅市国有资产经营有限责任公司，股权比例分别为70 PCT、25 PCT和5 PCT",China,,China,"China Datang Corporation",China,Yunnan,Pu'er
"Lopburi - Absolute Energy Solar Power Plant",Solar,Operational,8,,Thailand,"EA Solar Lopburi Company Limited (Thailand)",,,," ",Thailand,"Lop Buri","Phatthana Nikhom"
"Lopburi - BSP 1 Solar Power Plant",Solar,Operational,2,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,"Lop Buri","Phatthana Nikhom"
"Lopburi - BSP 4 Solar Power Plant",Solar,Operational,2,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,"Lop Buri","Phatthana Nikhom"
"Lopburi - BSP 5 Solar Power Plant",Solar,Operational,2,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,"Lop Buri","Phatthana Nikhom"
"Lopburi - BSP 6 Solar Power Plant",Solar,Operational,4,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,"Lop Buri","Phatthana Nikhom"
"Lopburi - SAAM 1 Solar Power Plant",Solar,Operational,2,,Thailand,"SAAM Solar Power One Company Limited (Thailand)",,,," ",Thailand,"Lop Buri","Phatthana Nikhom"
"Lopburi Solar Farm",Solar,Operational,84,2013,"Thailand; China; Japan","Natural Energy Development Co (JV of China Light and Power’s CLP Thailand), Mitsubishi Corporation’s Diamond Generating Asia, and Thailand’s Electricity Generating Public Company",ADB,ADB,," ",Thailand,"Lop Buri","Khok Samrong"
"Lopburi Solar Rooftop Plant (TSER-RT01)",Solar,Operational,1,2014,Thailand,"Thai Solar Energy Public Company Limited (TSE)",,,," ",Thailand,"Lop Buri","Muang Lop Buri"
"Lower Nam Ngum",Hydro,Unknown,60,,,,,,," ",Laos,"Vientiane [prefecture]",Mayparkngum
"Lower Sekong",Hydro,Planned,190,,Cambodia,"Royal Group",,,," ",Cambodia,"Stung Treng","Siem Pang"
"Lower Sesan 1/5",Hydro,Planned,96,,Vietnam,EVN,,,," ",Cambodia,"Stung Treng",Sesan
"Lower Sesan 2",Hydro,Operational,400,2018,"China; Cambodia","Hydrolancang International Energy Co. , Royal Group, EVN",China,"China EXIM Bank",China,"Hydrolancang International Energy Co.",Cambodia,"Stung Treng",Sesan
"Lower Sesan III",Hydro,Planned,375,,China,"Power Construction Corp",China,"China EXIM Bank (China)",China,"Power Construction Corp (China)",Cambodia,"Ratanak Kiri","Veun Sai"
"Lower Srepok II",Hydro,Planned,222,,Vietnam,"EVN (Vietnam)",,,," ",Cambodia,"Stung Treng",Sesan
"Lower Srepok III",Hydro,Planned,330,,China,"Huadian (China)",,,China,Huadian,Cambodia,"Ratanak Kiri",Lumphat
"Lower Srepok IV",Hydro,Planned,220,,China,"Huadian (China)",,,China,Huadian,Cambodia,"Ratanak Kiri","Ou Ya Dav"
"Lower Stung Russei Chrum",Hydro,Operational,338,2015,China,"China Huadian, Lower Stung Russei Chrum Hydro-Electric Project Co., Ltd.","China; Cambodia","INFINITY Insurance (Cambodia); People's Insurance Company of China (China); and China EXIM Bank (China)",China,"Sinohydro, China Gezhouba Group Corp",Cambodia,"Koh Kong","Mondol Seima"
"Lu Fang",Hydro,"Under Construction",120,2022,China,,China,,China," ",China,Yunnan,"Chuxiong Yi"
"Luang Phrabang (Nam Sang)",Hydro,Planned,1410,,Vietnam,"Petro Vietnam Power Corporation (Vietnam)",,,Vietnam,"Petro Vietnam Power Corporation",Laos,Louangphrabang,"Park Ou"
"Madushan dam",Hydro,Operational,300,2011,China,"Madushan Hydropower Co. Ltd; Ao Hydropower Holding Company; #2 Guangdong Water and Hydropower Bureau",China,,China,"#2 Guangdong Water and Hydropower Bureau",China,Yunnan,"Honghe Hani and Yi"
"Mae Chan",Geothermal,Operational,1,,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Chiang Rai","Mae Chan"
"Mae Hong Son",Oil,Operational,5.4,2005,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Mae Hong Son","Muang Mae Hong Son"
"Mae Klong Dam",Hydro,Operational,12,2001,Thailand,"EGAT (Thailand)",,,," ",Thailand,Kanchanaburi,"Tha Muang"
"Mae Krating Biomass Power Plant",Biomass,Unknown,10,,Thailand,"Mae Krating Power Co. Ltd acquired by Sakol Energy PLC",Thailand,"Government Savings Bank",Thailand,"Advanced Power Conversion Co. Ltd.",Thailand,Phrae,"Rong Kwang"
"Mae Moh 1-13",Coal,Operational,2400,1995,Thailand,"EGAT (Thailand)",,,Thailand,"Ital-Thai (Thailand)",Thailand,Lampang,"Mae Mo"
"Mae Ngat Somboon Chon Dam",Hydro,Operational,9,1977,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Chiang Mai","Mae Taeng"
"Mae Ngat Somboonchol Dam Irrigation Microhydro",Hydro,Unknown,1.9,,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Chiang Mai","Mae Taeng"
"Mae-tha V.P. Farms Pig Manure Methanisation",Waste,Unknown,1,,Thailand,"Foxsys Co. Ltd",Austria,"Kommunalkredit Public Consulting GmbH; ETS GmbH",," ",Thailand,Lamphun,"Mae Tha"
"Maesod Wastewater Treatment and Biogas Utilisation Project",Waste,Unknown,0.952,2012,Thailand,"Maesod Biogas Co. Ltd",,,"Switzerland; Sweden","Swiss Carbon Assets Ltd (Switzerland); Swedish Energy Agency (Sweden)",Thailand,Tak,"Mae Sot"
